Codes:,Capital_stock,land,cost_of_treasury_stock,additional_paid-in_capital,earnings_(rtnd_appr),depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
31322,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
313220,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
31323,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
313230,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
31324,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
313240,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
3133,1090999.713,161523.757393,608201.639275,5632573.39684,1385.01854441,11694109.2986,1757233.57858,8434738.93758,3790327.13085,414134.80232
31331,545499.856498,80761.8786966,304100.819638,2816286.69842,692.509272205,5847054.64932,878616.789291,4217369.46879,1895163.56542,207067.40116
313310,545499.856498,80761.8786966,304100.819638,2816286.69842,692.509272205,5847054.64932,878616.789291,4217369.46879,1895163.56542,207067.40116
31332,545499.856498,80761.8786966,304100.819638,2816286.69842,692.509272205,5847054.64932,878616.789291,4217369.46879,1895163.56542,207067.40116
313320,545499.856498,80761.8786966,304100.819638,2816286.69842,692.509272205,5847054.64932,878616.789291,4217369.46879,1895163.56542,207067.40116
315,2952479.58963,760241.225316,4239100.99396,11348123.7445,9501.12721331,18795243.2367,11087923.9475,12621004.4339,15802964.9112,1456551.98044
3151,0.0,0.0,0.0,0.0,3167.04240444,0.0,-0.0,0.0,0.0,0.0
31511,0.0,0.0,0.0,0.0,1583.52120222,0.0,-0.0,0.0,0.0,0.0
315110,0.0,0.0,0.0,0.0,1583.52120222,0.0,-0.0,0.0,0.0,0.0
31519,0.0,0.0,0.0,0.0,1583.52120222,0.0,-0.0,0.0,0.0,0.0
315190,0.0,0.0,0.0,0.0,1583.52120222,0.0,-0.0,0.0,0.0,0.0
3152,0.0,0.0,0.0,0.0,3167.04240444,0.0,-0.0,0.0,0.0,0.0
31521,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
315210,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
31522,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
315220,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
31524,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
315240,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
31528,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
315280,0.0,0.0,0.0,0.0,791.760601109,0.0,-0.0,0.0,0.0,0.0
3159,2952479.58963,760241.225316,4239100.99396,11348123.7445,3167.04240444,18795243.2367,11087923.9475,12621004.4339,15802964.9112,1456551.98044
31599,2952479.58963,760241.225316,4239100.99396,11348123.7445,3167.04240444,18795243.2367,11087923.9475,12621004.4339,15802964.9112,1456551.98044
315990,2952479.58963,760241.225316,4239100.99396,11348123.7445,3167.04240444,18795243.2367,11087923.9475,12621004.4339,15802964.9112,1456551.98044
316,1166391.60405,99362.8165751,1117038.32575,546192.098971,136.001820967,3713749.89195,5385674.08789,2666466.92059,3141437.24815,92509.4647758
3161,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
31611,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
316110,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
3162,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
31621,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
316210,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
3169,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
31699,388797.201351,33120.9388584,372346.108584,182064.03299,45.3339403224,1237916.63065,1795224.69596,888822.306863,1047145.74938,30836.4882586
316992,194398.600675,16560.4694292,186173.054292,91032.0164952,22.6669701612,618958.315325,897612.347982,444411.153432,523572.874691,15418.2441293
316998,194398.600675,16560.4694292,186173.054292,91032.0164952,22.6669701612,618958.315325,897612.347982,444411.153432,523572.874691,15418.2441293
321,7501199.23467,3276596.00493,2571198.01049,18803718.2872,39088.5233674,86988124.8063,15464031.4168,59095097.5764,15863859.0254,2463135.96741
3211,2500399.74489,1092198.66831,857066.003495,6267906.09573,13029.5077891,28996041.6021,5154677.13894,19698365.8588,5287953.00845,821045.322468
32111,2500399.74489,1092198.66831,857066.003495,6267906.09573,13029.5077891,28996041.6021,5154677.13894,19698365.8588,5287953.00845,821045.322468
321113,1250199.87245,546099.334155,428533.001748,3133953.04787,6514.75389457,14498020.8011,2577338.56947,9849182.92939,2643976.50423,410522.661234
321114,1250199.87245,546099.334155,428533.001748,3133953.04787,6514.75389457,14498020.8011,2577338.56947,9849182.92939,2643976.50423,410522.661234
3212,2500399.74489,1092198.66831,857066.003495,6267906.09573,13029.5077891,28996041.6021,5154677.13894,19698365.8588,5287953.00845,821045.322468
32121,2500399.74489,1092198.66831,857066.003495,6267906.09573,13029.5077891,28996041.6021,5154677.13894,19698365.8588,5287953.00845,821045.322468
321211,500079.948978,218439.733662,171413.200699,1253581.21915,2605.90155783,5799208.32042,1030935.42779,3939673.17176,1057590.60169,164209.064494
321212,500079.948978,218439.733662,171413.200699,1253581.21915,2605.90155783,5799208.32042,1030935.42779,3939673.17176,1057590.60169,164209.064494
321213,500079.948978,218439.733662,171413.200699,1253581.21915,2605.90155783,5799208.32042,1030935.42779,3939673.17176,1057590.60169,164209.064494
321214,500079.948978,218439.733662,171413.200699,1253581.21915,2605.90155783,5799208.32042,1030935.42779,3939673.17176,1057590.60169,164209.064494
