HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
674894025001205,90001,1,201206,35,3
174033096909799,90001,2,201206,29,0
491998405081749,88001,2,201206,32,2
730975096741479,89001,1,201206,39,4
730975096741479,89001,5,201206,21,0
977469510739407,89001,1,201206,36,3
035264370991790,89001,2,201206,28,0
030007189480790,88001,1,201206,36,3
030007189480790,88001,2,201206,19,0
900177000948830,88001,1,201206,42,2
987309840246403,90001,3,201206,28,2
010724170977695,89001,4,201206,33,0
799220194680914,89001,1,201206,34,0
073664270989895,89001,2,201206,49,2
802906694997127,89001,1,201206,45,0
405903334694547,90001,2,201206,33,2
705907604892517,90001,2,201206,29,0
117940760060400,90001,2,201206,22,0
960872092146849,90001,1,201206,31,6
960872092146849,90001,3,201206,32,0
960872092146849,90001,4,201206,15,0
799840507600664,90001,1,201206,23,2
574874083001606,89001,2,201206,49,1
574874083001606,89001,3,201206,15,0
930972091841499,89001,2,201206,20,1
823464959700982,89001,1,201206,48,1
799640515550684,88001,1,201206,23,0
799640515550684,88001,2,201206,32,1
230172007442900,89001,2,201206,37,1
960029410176504,89001,1,201206,50,2
960029410176504,89001,2,201206,16,0
099140325700675,90001,2,201206,40,3
074895200013803,89001,1,201206,30,0
250009941095597,89001,1,201206,28,0
603909015695220,89001,1,201206,22,0
055695300996899,89002,2,201206,21,0
969050969539580,89001,1,201206,34,1
966090826549010,90002,4,201206,22,0
879591589000660,90001,1,201206,34,2
506609595997240,90001,2,201206,43,2
506609595997240,90001,3,201206,17,0
099010562520675,90001,2,201206,49,0
960209170256505,90001,1,201206,47,4
960209170256505,90001,3,201206,20,0
960209170256505,90001,4,201206,16,0
099740366100615,89001,1,201206,29,2
505599052909262,89001,2,201206,39,2
505599052909262,89001,3,201206,15,0
170906099657759,90001,1,201206,31,0
170906099657759,90001,2,201206,26,1
597914709013069,90001,1,201206,45,0
562948502026119,88001,2,201206,43,3
562948502026119,88001,3,201206,17,0
951449030369507,89001,1,201206,49,0
944001533529760,89002,3,201206,19,0
159470364030925,89002,2,201206,42,4
053535210980692,89001,2,201206,38,2
594933704067105,89001,1,201206,35,2
350109974034657,89001,2,201206,29,0
918061955559310,90001,3,201206,28,0
715785007908496,90001,2,201206,24,0
111508700100154,89001,2,201206,47,2
101014875105101,89001,4,201206,27,1
101014875105101,89001,6,201206,30,2
951349830569506,89001,2,201206,28,0
951349830569506,89001,3,201206,47,1
951349830569506,89001,4,201206,21,0
942071829549820,90001,1,201206,34,1
594964009092199,90001,2,201206,37,2
915699004909294,90001,1,201206,45,2
915699004909294,90001,3,201206,21,0
150818097556749,90001,1,201206,20,0
150818097556749,90001,2,201206,44,2
034485410010307,90001,2,201206,43,3
467560939100958,90001,1,201206,46,0
199470108160915,89001,5,201206,24,0
642591119100701,90001,1,201206,46,3
315860036907091,90001,2,201206,45,4
048865510691599,90001,2,201206,30,3
095495810015902,88001,2,201206,50,12
095495810015902,88001,3,201206,27,0
095495810015902,88001,4,201206,24,0
095495810015902,88001,6,201206,23,0
095495810015902,88001,7,201206,21,0
095495810015902,88001,8,201206,21,0
095495810015902,88001,10,201206,18,0
961379630339500,89001,2,201206,25,0
450109900787795,90001,2,201206,32,2
715877004909590,90001,1,201206,50,2
715877004909590,90001,4,201206,21,0
715634093001802,89001,4,201206,29,1
199410838860915,89002,2,201206,30,0
980912094157909,90001,2,201206,48,2
980912094157909,90001,3,201206,25,0
002902125991371,89001,1,201206,44,3
901559450909500,90001,1,201206,38,2
596908708096149,88001,1,201206,45,3
770912097051089,89001,2,201206,27,1
815853094909494,90001,1,201206,41,4
815853094909494,90001,4,201206,18,1
199060604820975,90001,2,201206,15,0
591938608086119,88001,2,201206,50,0
977091894549140,90001,1,201206,49,0
977091894549140,90001,3,201206,35,0
502006985101584,89001,1,201206,42,3
636590729400899,89001,1,201206,36,1
208905935990244,88002,2,201206,20,0
499730894630655,90001,1,201206,27,1
850406994853891,88001,1,201206,28,4
499550365970915,89001,1,201206,37,2
023935540696693,90001,2,201206,21,0
